statefip,year,vacant,units,state_name,total_units,vacancy_rate,vacancy_status
16,2019,1,95257,Idaho,751113,0.12682113077526283,Vacant
16,2015,1,95064,Idaho,692482,0.1372801025875041,Vacant
16,2017,0,624976,Idaho,721656,0.13396964758832464,Occupied
16,2016,0,610868,Idaho,700829,0.12836369499549818,Occupied
16,2016,1,89961,Idaho,700829,0.12836369499549818,Vacant
16,2018,1,95430,Idaho,735703,0.12971266937881182,Vacant
17,2019,0,4865842,Illinois,5388038,0.09691765351320833,Occupied
17,2018,0,4864536,Illinois,5375852,0.09511348154673901,Occupied
17,2018,1,511316,Illinois,5375852,0.09511348154673901,Vacant
17,2016,0,4821931,Illinois,5327060,0.09482322331642594,Occupied
17,2015,0,4794513,Illinois,5317618,0.09837205305082088,Occupied
17,2015,1,523105,Illinois,5317618,0.09837205305082088,Vacant
17,2017,0,4808628,Illinois,5359364,0.10276144706722663,Occupied
17,2017,1,550736,Illinois,5359364,0.10276144706722663,Vacant
17,2019,1,522196,Illinois,5388038,0.09691765351320833,Vacant
17,2016,1,505129,Illinois,5327060,0.09482322331642594,Vacant
18,2015,0,2515089,Indiana,2841402,0.11484225041018484,Occupied
18,2019,0,2597704,Indiana,2921050,0.11069512675236644,Occupied
18,2019,1,323346,Indiana,2921050,0.11069512675236644,Vacant
18,2018,0,2599028,Indiana,2903438,0.10484467035287132,Occupied
18,2016,0,2533273,Indiana,2854595,0.11256307812491789,Occupied
18,2016,1,321322,Indiana,2854595,0.11256307812491789,Vacant
18,2015,1,326313,Indiana,2841402,0.11484225041018484,Vacant
18,2018,1,304410,Indiana,2903438,0.10484467035287132,Vacant
18,2017,0,2557129,Indiana,2885176,0.11370086261635338,Occupied
18,2017,1,328047,Indiana,2885176,0.11370086261635338,Vacant
19,2019,0,1287137,Iowa,1418511,0.09261401568264187,Occupied
19,2015,0,1247246,Iowa,1369379,0.08918860300910121,Occupied
19,2018,0,1267873,Iowa,1409568,0.1005237065540648,Occupied
19,2018,1,141695,Iowa,1409568,0.1005237065540648,Vacant
19,2017,0,1257510,Iowa,1397739,0.10032559726815951,Occupied
19,2017,1,140229,Iowa,1397739,0.10032559726815951,Vacant
19,2019,1,131374,Iowa,1418511,0.09261401568264187,Vacant
19,2015,1,122133,Iowa,1369379,0.08918860300910121,Vacant
19,2016,0,1247829,Iowa,1379989,0.09576887931715397,Occupied
19,2016,1,132160,Iowa,1379989,0.09576887931715397,Vacant
20,2019,1,150105,Kansas,1288296,0.11651437247340674,Vacant
20,2019,0,1138191,Kansas,1288296,0.11651437247340674,Occupied
20,2016,1,149465,Kansas,1259870,0.1186352560184781,Vacant
20,2018,0,1133412,Kansas,1280553,0.11490426401718633,Occupied
20,2018,1,147141,Kansas,1280553,0.11490426401718633,Vacant
20,2016,0,1110405,Kansas,1259870,0.1186352560184781,Occupied
20,2015,0,1111580,Kansas,1253889,0.11349409716490057,Occupied
20,2015,1,142309,Kansas,1253889,0.11349409716490057,Vacant
20,2017,0,1128839,Kansas,1273634,0.11368650648459448,Occupied
20,2017,1,144795,Kansas,1273634,0.11368650648459448,Vacant
21,2015,0,1716168,Kentucky,1957133,0.12312142302030572,Occupied
21,2017,0,1725033,Kentucky,1984235,0.13063069646488445,Occupied
21,2019,0,1748661,Kentucky,2006274,0.12840369760062684,Occupied
21,2019,1,257613,Kentucky,2006274,0.12840369760062684,Vacant
21,2018,0,1732721,Kentucky,1995187,0.1315495740499512,Occupied
21,2018,1,262466,Kentucky,1995187,0.1315495740499512,Vacant
21,2016,0,1717704,Kentucky,1965577,0.12610699046641266,Occupied
21,2016,1,247873,Kentucky,1965577,0.12610699046641266,Vacant
21,2015,1,240965,Kentucky,1957133,0.12312142302030572,Vacant
21,2017,1,259202,Kentucky,1984235,0.13063069646488445,Vacant
22,2019,1,348752,Louisiana,2089824,0.16688103878604132,Vacant
22,2018,0,1737221,Louisiana,2076136,0.16324315940766887,Occupied
22,2019,0,1741072,Louisiana,2089824,0.16688103878604132,Occupied
22,2015,0,1737814,Louisiana,2024638,0.14166680660937905,Occupied
22,2015,1,286824,Louisiana,2024638,0.14166680660937905,Vacant
22,2018,1,338915,Louisiana,2076136,0.16324315940766887,Vacant
